围岩裂隙裂隙发育程度,煤层强度,底板强度,顶板强度,埋深,毛宽,锚杆支护面积,锚索密度,顶板位移
1.0,18.0,50.0,47.23,310,2.7,0.49,1.43,66.0
0.0,20.0,35.0,59.24,452,4.0,0.72,2.5,97.62
1.0,23.6,51.4,46.8,145,4.0,0.63,1.67,66.0
0.0,17.0,57.0,68.93,460,4.5,1.44,0.83,57.0
0.0,8.5,46.0,15.0,320,3.6,0.64,1.25,120.0
1.0,20.0,35.0,59.24,452,4.0,0.64,2.5,97.62
1.0,14.3,35.8,62.09,285,4.8,1.1,2.5,10.4
0.0,11.03,26.7,48.86,420,5.2,1.44,1.67,47.0
0.0,4.84,29.92,61.93,250,4.6,1.1,0.67,126.0
1.0,18.0,50.0,47.23,310,4.1,0.49,1.43,86.0
1.0,9.0,15.3,37.08,474,4.7,0.8,2.0,6.3
0.0,11.03,26.7,48.86,420,5.2,1.44,1.67,47.0
0.0,7.2,52.39,32.31,205,4.7,0.9,2.0,68.0
1.0,10.1,14.69,30.51,600,5.0,0.81,1.67,56.0
1.0,14.0,31.9,31.87,375,5.0,0.9,2.0,15.0
1.0,18.5,28.0,32.62,400,6.0,0.9,0.74,92.0
1.0,8.04,22.17,44.64,540,5.6,1.0,1.5,49.5
1.0,11.03,26.7,36.42,550,5.2,0.81,1.11,80.0
1.0,10.3,15.0,76.1,850,5.0,0.72,2.5,150.0
1.0,13.53,32.29,48.64,450,4.0,0.64,0.63,102.0
0.0,11.03,26.7,71.52,528,5.3,1.0,1.0,30.0
1.0,7.3,13.4,24.98,276,4.5,0.81,3.33,7.1
1.0,10.65,38.86,52.63,200,3.3,0.72,1.25,90.89
1.0,9.0,13.5,40.24,358,5.2,0.72,2.5,11.6
1.0,9.0,15.3,37.08,474,5.2,0.81,3.33,6.5
1.0,9.0,13.5,40.24,358,5.2,0.72,3.33,11.6
1.0,14.0,33.5,46.19,289,4.2,0.81,3.33,5.8
0.0,15.5,47.4,64.72,400,3.5,1.1,1.82,92.0
1.0,10.3,15.0,70.66,850,5.0,0.72,2.5,150.0
0.0,15.0,17.52,90.0,180,5.0,0.9,2.0,95.0
1.0,9.0,18.2,37.52,358,5.0,0.64,2.5,4.2
0.0,18.13,34.5,49.24,572,5.5,0.72,2.22,94.0
1.0,12.58,39.68,56.66,100,3.2,0.6,0.83,59.0
1.0,11.83,32.49,57.57,600,7.5,0.56,0.83,70.0
1.0,9.0,18.2,37.52,358,4.7,0.72,3.33,4.2
1.0,8.2,12.7,24.25,278,4.8,0.81,3.33,7.2
1.0,13.8,27.2,59.36,500,5.4,0.72,1.11,50.0
1.0,14.0,33.5,46.19,289,4.2,0.81,3.75,5.8
1.0,1.8,35.8,95.34,550,2.8,0.49,0.95,113.33
1.0,14.0,25.4,54.32,415,5.2,0.72,3.33,7.8
0.0,3.98,26.11,25.77,100,4.0,1.1,1.0,76.0
1.0,11.03,112.8,77.7,480,5.0,0.64,5.0,75.0
0.0,10.0,31.5,51.8,250,5.5,1.0,1.0,80.0
1.0,11.03,80.0,77.7,480,5.0,0.64,5.0,75.0
1.0,11.58,36.25,59.74,600,5.8,1.0,1.5,75.86
1.0,14.0,17.1,45.88,394,4.7,0.72,2.22,10.0
1.0,8.2,12.7,24.25,278,4.8,0.72,3.33,7.2
1.0,15.0,17.52,112.29,180,5.0,0.9,2.0,95.0
1.0,15.9,47.3,34.34,100,3.7,1.44,0.42,91.0
1.0,9.0,16.8,38.06,321,4.7,0.64,2.5,4.2
1.0,14.0,17.1,45.88,394,3.9,0.72,2.22,9.0
1.0,14.0,33.5,46.19,289,4.2,0.81,2.22,5.7
0.0,16.0,85.0,86.11,550,3.5,0.8,1.0,90.0
1.0,6.0,25.0,39.86,495,5.0,0.64,5.0,33.0
1.0,10.0,31.5,51.8,250,5.5,1.0,1.0,80.0
1.0,14.0,32.9,43.53,321,4.7,0.72,2.22,5.6
1.0,14.0,33.5,46.19,289,4.2,0.81,2.22,5.7
0.0,3.98,26.11,24.83,100,4.0,1.1,1.0,76.0
