test_sample_index,case_rank,similar_case_index,similarity,distance,case_roof_displacement,case_fracture_degree,case_coal_strength,case_floor_strength,case_roof_strength,case_depth,case_width,case_bolt_area,case_anchor_density
16,1,58,0.663001,0.508293,13.0,0.0,8.6,31.9,43.06,500.0,4.5,1.2,0.67
16,2,75,0.424229,1.357217,32.0,0.0,3.42,43.28,49.19,410.0,5.0,1.0,1.0
16,3,41,0.378877,1.63938,38.0,0.0,16.0,26.7,46.34,383.0,4.2,0.9,1.0
16,4,100,0.377359,1.649998,50.0,0.0,15.0,35.0,44.34,670.0,4.6,1.0,1.5
16,5,61,0.372537,1.684296,126.0,0.0,4.84,29.92,54.74,250.0,4.6,1.1,0.67
17,1,56,0.264046,2.787215,110.0,0.0,10.94,15.58,33.35,790.0,5.2,0.64,6.25
17,2,101,0.241294,3.144325,68.0,1.0,11.03,26.7,42.71,540.0,5.0,0.72,3.33
17,3,171,0.241105,3.147574,33.0,1.0,6.0,25.0,39.86,495.0,5.0,0.64,5.0
17,4,9,0.232104,3.308423,136.0,1.0,5.8,26.21,10.61,836.0,3.3,0.56,2.86
17,5,107,0.228902,3.368683,6.4,1.0,14.0,29.1,45.65,484.0,5.0,0.72,3.33
18,1,114,0.395313,1.529642,70.0,0.0,11.5,31.5,31.04,400.0,4.2,0.81,1.11
18,2,62,0.357748,1.795264,74.8,0.0,14.58,37.88,50.54,429.0,4.5,0.64,1.25
18,3,25,0.349296,1.862899,88.0,0.0,14.34,38.99,44.23,530.0,5.0,0.6,1.88
18,4,122,0.339992,1.941249,120.0,0.0,8.5,46.0,15.0,320.0,3.6,0.64,1.25
18,5,110,0.323865,2.087711,42.0,0.0,12.89,41.16,55.44,387.0,3.5,0.49,1.43
19,1,91,1.0,0.0,33.0,0.0,12.3,96.4,110.7,488.0,5.4,1.21,1.82
19,2,93,0.273862,2.651477,14.0,0.0,11.03,80.0,68.99,480.0,5.0,1.1,1.0
19,3,108,0.273862,2.651477,14.0,0.0,11.03,112.8,68.99,480.0,5.0,1.1,1.0
19,4,71,0.244327,3.092878,150.0,0.0,15.0,66.9,90.0,214.0,5.0,0.9,1.0
19,5,94,0.241805,3.135561,150.0,0.0,15.0,66.9,87.95,214.0,5.0,0.9,1.0
